,timeBlock,level 1,level 2,level 3,level 4,level 5,level 6,level 7,level 8,level 9
49,49,Lc1 1,Lc3 2,Lc1 2,Lc1 3,Lc2 3,Lc2 1,Lc3 1,Lc2 2,BESS
50,50,Lc1 1,Lc3 1,Lc2 3,Lc3 2,Lc1 3,Lc1 2,Lc2 1,Lc2 2,BESS
51,51,Lc1 1,Lc3 2,Lc2 3,Lc3 1,Lc1 2,Lc1 3,Lc2 1,Lc2 2,BESS
52,52,Lc1 1,Lc3 2,Lc2 3,Lc1 2,Lc1 3,Lc3 1,Lc2 1,Lc2 2,BESS
53,53,Lc1 1,Lc3 2,Lc2 3,Lc3 1,Lc2 1,Lc1 3,Lc1 2,Lc2 2,BESS
54,54,Lc1 1,Lc3 1,Lc2 3,Lc2 1,Lc3 2,Lc1 3,Lc1 2,Lc2 2,BESS
55,55,Lc1 1,Lc2 3,Lc3 1,Lc3 2,Lc2 1,Lc1 3,Lc1 2,Lc2 2,BESS
56,56,Lc1 1,Lc2 3,Lc3 1,Lc3 2,Lc2 1,Lc1 3,Lc1 2,Lc2 2,BESS
57,57,Lc1 1,Lc2 3,Lc3 2,Lc1 2,Lc1 3,Lc3 1,Lc2 1,Lc2 2,BESS
58,58,Lc1 2,Lc1 1,Lc3 2,Lc1 3,Lc2 3,Lc2 1,Lc3 1,Lc2 2,BESS
59,59,Lc1 2,Lc1 1,Lc3 2,Lc1 3,Lc2 3,Lc2 1,Lc3 1,Lc2 2,BESS
60,60,Lc1 1,Lc1 2,Lc3 2,Lc1 3,Lc2 3,Lc2 1,Lc3 1,Lc2 2,BESS
61,61,Lc1 2,Lc1 1,Lc3 2,Lc1 3,Lc2 3,Lc2 1,Lc3 1,Lc2 2,BESS
62,62,Lc1 2,Lc1 1,Lc3 2,Lc1 3,Lc2 3,Lc2 1,Lc3 1,Lc2 2,BESS
63,63,Lc1 2,Lc1 1,Lc3 2,Lc1 3,Lc2 3,Lc2 1,Lc3 1,Lc2 2,BESS
64,64,Lc1 1,Lc1 2,Lc3 2,Lc1 3,Lc2 3,Lc2 1,Lc3 1,Lc2 2,BESS
65,65,Lc1 1,Lc1 2,Lc3 2,Lc1 3,Lc2 3,Lc2 1,Lc3 1,Lc2 2,BESS
66,66,Lc1 1,Lc1 2,Lc3 2,Lc1 3,Lc2 3,Lc2 1,Lc3 1,Lc2 2,BESS
67,67,Lc1 1,Lc1 2,Lc3 2,Lc1 3,Lc2 3,Lc2 1,Lc3 1,Lc2 2,BESS
68,68,Lc1 1,Lc1 2,Lc3 2,Lc1 3,Lc2 3,Lc2 1,Lc3 1,Lc2 2,BESS
69,69,Lc3 1,Lc1 1,Lc2 3,Lc1 3,Lc3 2,Lc1 2,Lc2 1,Lc2 2,BESS
70,70,Lc1 1,Lc1 2,Lc3 2,Lc1 3,Lc2 3,Lc2 1,Lc3 1,Lc2 2,BESS
71,71,Lc1 1,Lc1 2,Lc3 2,Lc1 3,Lc2 3,Lc2 1,Lc3 1,Lc2 2,BESS
72,72,Lc1 1,Lc2 3,Lc3 2,Lc1 3,Lc1 2,Lc2 1,Lc3 1,Lc2 2,BESS
73,73,Lc1 2,Lc1 1,Lc3 2,Lc1 3,Lc2 3,Lc2 1,Lc3 1,Lc2 2,BESS
74,74,Lc1 2,Lc1 1,Lc3 2,Lc1 3,Lc2 3,Lc2 1,Lc3 1,Lc2 2,BESS
75,75,Lc1 2,Lc1 1,Lc3 2,Lc1 3,Lc2 3,Lc2 1,Lc3 1,Lc2 2,BESS
